"date","location","obs_date","mission","date_diff","secchi","med_Blue_corr","med_Red_corr","med_Green_corr","med_Nir_corr","med_Swir1_corr","med_Swir2_corr","prop_clouds","prop_hillShadow","pCount_dswe1","pCount_dswe3","min_cloud_dist","mean_cloud_dist","system.index","CLOUD_COVER","IMAGE_QUALITY","IMAGE_QUALITY_TIRS","SUN_AZIMUTH","SUN_ELEVATION","tot_sol_rad_KJpm2_3","max_temp_degK_3","min_temp_degK_3","tot_precip_m_3","mean_wind_mps_3","tot_sol_rad_KJpm2_5","max_temp_degK_5","min_temp_degK_5","tot_precip_m_5","mean_wind_mps_5","tot_sol_rad_KJpm2_7","max_temp_degK_7","min_temp_degK_7","tot_precip_m_7","mean_wind_mps_7","med_Blue_corr_scaled","med_Red_corr_scaled","med_Green_corr_scaled","med_Nir_corr_scaled","med_Swir1_corr_scaled","med_Swir2_corr_scaled","tot_sol_rad_KJpm2_3_scaled","max_temp_degK_3_scaled","min_temp_degK_3_scaled","tot_precip_m_3_scaled","mean_wind_mps_3_scaled","tot_sol_rad_KJpm2_5_scaled","max_temp_degK_5_scaled","min_temp_degK_5_scaled","tot_precip_m_5_scaled","mean_wind_mps_5_scaled","tot_sol_rad_KJpm2_7_scaled","max_temp_degK_7_scaled","min_temp_degK_7_scaled","tot_precip_m_7_scaled","mean_wind_mps_7_scaled"
2019-04-11,"P",2019-04-11,"LANDSAT_8",0,"4.50",0.0331571339673065,0.0234626320560617,0.0337779501750316,0.0210371921975912,0.033416059669486,0.0704797389907754,0,1,26,0,593,600,"1_LC08_018050_20190411",21.36,9,9,101.07518246,64.58775369,64030.686,296.7681128184,294.222603480021,0.0253321038124632,0.531428394835975,110266.282,297.283924102783,294.222603480021,0.0256235329193437,0.588444964305396,156609.638,297.283924102783,294.222603480021,0.0265841133205136,0.630468236393776,0.411326324521013,0.674814939966097,0.315249487676915,0.275726183569599,1.07256847960966,1.47761237626711,0.427791728322629,1.07200192917069,0.22478889543826,1.67964449634961,-0.16177026421426,0.739423134086717,1.24591537421618,0.464361345057768,0.60030248781971,-0.0573618703519277,0.912457082345338,1.12691696966327,0.619473472545313,0.160333832220274,0.0769853605958215
2019-04-11,"R",2019-04-11,"LANDSAT_8",0,"4.00",0.0327932133942882,0.0263167742558699,0.0365038518286413,0.032524273674655,0.0157751284168655,0.0201635640489456,0,1,24,0,305,312.708333333333,"1_LC08_018050_20190411",21.36,9,9,101.07518246,64.58775369,64030.686,296.7681128184,294.222603480021,0.0253321038124632,0.531428394835975,110266.282,297.283924102783,294.222603480021,0.0256235329193437,0.588444964305396,156609.638,297.283924102783,294.222603480021,0.0265841133205136,0.630468236393776,0.386918765564033,0.925795784741511,0.483979515006296,1.18988921499118,0.586013885409205,0.39413173963969,0.427791728322629,1.07200192917069,0.22478889543826,1.67964449634961,-0.16177026421426,0.739423134086717,1.24591537421618,0.464361345057768,0.60030248781971,-0.0573618703519277,0.912457082345338,1.12691696966327,0.619473472545313,0.160333832220274,0.0769853605958215
2019-04-27,"B",2019-04-26,"LANDSAT_8",-1,"4.10",0.0182099015581497,0.0137098602419143,0.0329859092598412,0.0175760755411121,0.0385867161661699,0.0892690710355678,0,1,25,0,211,218.76,"1_LC08_018050_20190427",7.25,9,9,88.34079061,66.39326393,76008.628,298.001099904378,296.764969507853,6.2072277064118e-05,0.876705290144588,119509.576,298.001099904378,295.882214864095,0.000726443529021736,0.817090190542331,156988.146,298.001099904378,293.100519180298,0.00151298046087689,0.86032619278516,-0.591160161044734,-0.182801372557171,0.266223109528204,0.000284166281895065,1.21518037676335,1.8822114434504,1.52447372464673,1.75835778121022,1.48374161218698,-0.782012446570829,1.15744956568936,1.23486446087044,1.65169395919735,1.25458420476828,-0.860932491278241,0.884443200184641,0.927140727039844,1.52905899931639,0.0973687251203672,-0.931158679005806,1.12010795488197
2019-04-27,"E",2019-04-26,"LANDSAT_8",-1,"3.90",0.0408313996401287,0.0157705181346206,0.0348051181249879,0.0116414298235005,0.0056089727387586,0.0159043960857304,0,1,25,0,316,321.24,"1_LC08_018050_20190427",7.25,9,9,88.34079061,66.39326393,76008.628,298.001099904378,296.764969507853,6.2072277064118e-05,0.876705290144588,119509.576,298.001099904378,295.882214864095,0.000726443529021736,0.817090190542331,156988.146,298.001099904378,293.100519180298,0.00151298046087689,0.86032619278516,0.926026799702785,-0.00159608476902037,0.378829945922165,-0.472005834486139,0.30562110570234,0.302417176248841,1.52447372464673,1.75835778121022,1.48374161218698,-0.782012446570829,1.15744956568936,1.23486446087044,1.65169395919735,1.25458420476828,-0.860932491278241,0.884443200184641,0.927140727039844,1.52905899931639,0.0973687251203672,-0.931158679005806,1.12010795488197
2019-04-27,"F",2019-04-26,"LANDSAT_8",-1,"4.25",0.0281254454704344,0.0213497640790758,0.04069798186869,0.0231685405244779,0.0538416480515058,0.117566485795578,0,1,26,0,248,255.269230769231,"1_LC08_018050_20190427",7.25,9,9,88.34079061,66.39326393,76008.628,298.001099904378,296.764969507853,6.2072277064118e-05,0.876705290144588,119509.576,298.001099904378,295.882214864095,0.000726443529021736,0.817090190542331,156988.146,298.001099904378,293.100519180298,0.00151298046087689,0.86032619278516,0.0738591881566392,0.489018524567286,0.743591110069999,0.445342796058369,1.63592671303869,2.49155229645704,1.52447372464673,1.75835778121022,1.48374161218698,-0.782012446570829,1.15744956568936,1.23486446087044,1.65169395919735,1.25458420476828,-0.860932491278241,0.884443200184641,0.927140727039844,1.52905899931639,0.0973687251203672,-0.931158679005806,1.12010795488197
2019-04-27,"P",2019-04-26,"LANDSAT_8",-1,"3.40",0.0206757739348627,0.0113828634662079,0.0321933318229758,0.012313956431997,0.0251936207184927,0.0622854168315732,0,1,26,0,286,293.961538461538,"1_LC08_018050_20190427",7.25,9,9,88.34079061,66.39326393,76008.628,298.001099904378,296.764969507853,6.2072277064118e-05,0.876705290144588,119509.576,298.001099904378,295.882214864095,0.000726443529021736,0.817090190542331,156988.146,298.001099904378,293.100519180298,0.00151298046087689,0.86032619278516,-0.425778124750824,-0.387427342698289,0.217163521334382,-0.418484932387342,0.845785358591361,1.30116038244908,1.52447372464673,1.75835778121022,1.48374161218698,-0.782012446570829,1.15744956568936,1.23486446087044,1.65169395919735,1.25458420476828,-0.860932491278241,0.884443200184641,0.927140727039844,1.52905899931639,0.0973687251203672,-0.931158679005806,1.12010795488197
2019-04-27,"R",2019-04-26,"LANDSAT_8",-1,"3.40",0.041728251214965,0.0161193060675339,0.0432405924666685,0.0115264136282626,0.00630546197134892,0.0179487008722237,0,1,24,0,181,188.666666666667,"1_LC08_018050_20190427",7.25,9,9,88.34079061,66.39326393,76008.628,298.001099904378,296.764969507853,6.2072277064118e-05,0.876705290144588,119509.576,298.001099904378,295.882214864095,0.000726443529021736,0.817090190542331,156988.146,298.001099904378,293.100519180298,0.00151298046087689,0.86032619278516,0.986177171271301,0.0290748082425236,0.900975641942884,-0.481159034444823,0.324830977963342,0.346438103000347,1.52447372464673,1.75835778121022,1.48374161218698,-0.782012446570829,1.15744956568936,1.23486446087044,1.65169395919735,1.25458420476828,-0.860932491278241,0.884443200184641,0.927140727039844,1.52905899931639,0.0973687251203672,-0.931158679005806,1.12010795488197
2019-05-13,"B",2019-05-13,"LANDSAT_8",0,"2.75",0.024885434502256,0.0151496370026523,0.0366551039133228,0.0206904022946925,0.0207391512950922,0.0445407635194344,0,1,25,0,337,345.24,"1_LC08_018050_20190513",24.64,9,9,76.9170103,66.66730704,65555.422,297.643059412638,297.016836802165,0.0136431217191557,0.268192398128405,112745.002,299.790537516276,297.016836802165,0.0206723784525202,0.324644102123468,157071.062,299.790537516276,297.016836802165,0.0240397309380747,0.460957945432822,-0.143443060164183,-0.056193669646533,0.493341836771698,0.248128006475333,0.722926619920237,0.919056848355003,0.567394217660717,1.5590505949732,1.60846362741336,0.54097302752476,-1.16753158656014,0.872282732139678,2.66415904858428,1.79483368798827,0.309714299762198,-1.14397537068104,0.930357327702154,2.53245045729066,1.9196275547872,0.0495620401486542,-0.692272389892117
2019-05-13,"E",2019-05-13,"LANDSAT_8",0,"2.50",0.0245312594906887,0.00939654919734233,0.032075242470633,0.0102244392737745,0.0056089727387586,0.0174376080886264,0,1,25,0,660,664,"1_LC08_018050_20190513",24.64,9,9,76.9170103,66.66730704,65555.422,297.643059412638,297.016836802165,0.0136431217191557,0.268192398128405,112745.002,299.790537516276,297.016836802165,0.0206723784525202,0.324644102123468,157071.062,299.790537516276,297.016836802165,0.0240397309380747,0.460957945432822,-0.16719700021825,-0.562095175724562,0.20985393273579,-0.584772543682004,0.30562110570234,0.335432514137762,0.567394217660717,1.5590505949732,1.60846362741336,0.54097302752476,-1.16753158656014,0.872282732139678,2.66415904858428,1.79483368798827,0.309714299762198,-1.14397537068104,0.930357327702154,2.53245045729066,1.9196275547872,0.0495620401486542,-0.692272389892117
2019-05-13,"F",2019-05-13,"LANDSAT_8",0,"3.00",0.0247674607949975,0.0124992726175053,0.0357472963061688,0.0156473852283778,0.0163998886345921,0.0370374107274728,0,1,26,0,529,536.615384615385,"1_LC08_018050_20190513",24.64,9,9,76.9170103,66.66730704,65555.422,297.643059412638,297.016836802165,0.0136431217191557,0.268192398128405,112745.002,299.790537516276,297.016836802165,0.0206723784525202,0.324644102123468,157071.062,299.790537516276,297.016836802165,0.0240397309380747,0.460957945432822,-0.151355364190866,-0.289255180173782,0.437149639902792,-0.153204549409996,0.603245399429385,0.75748380610222,0.567394217660717,1.5590505949732,1.60846362741336,0.54097302752476,-1.16753158656014,0.872282732139678,2.66415904858428,1.79483368798827,0.309714299762198,-1.14397537068104,0.930357327702154,2.53245045729066,1.9196275547872,0.0495620401486542,-0.692272389892117
