"date","location","obs_date","date_diff","secchi","mission","med_Blue_corr","med_Red_corr","med_Green_corr","med_Nir_corr","med_Swir1_corr","med_Swir2_corr","prop_clouds","prop_hillShadow","pCount_dswe1","pCount_dswe3","min_cloud_dist","mean_cloud_dist","system.index","CLOUD_COVER","IMAGE_QUALITY","IMAGE_QUALITY_TIRS","SUN_AZIMUTH","SUN_ELEVATION","tot_sol_rad_KJpm2_3","mean_temp_degK_3","min_temp_degK_3","max_temp_degK_3","tot_precip_m_3","mean_wind_mps_3","tot_sol_rad_KJpm2_5","mean_temp_degK_5","min_temp_degK_5","max_temp_degK_5","tot_precip_m_5","mean_wind_mps_5","tot_sol_rad_KJpm2_7","mean_temp_degK_7","min_temp_degK_7","max_temp_degK_7","tot_precip_m_7","mean_wind_mps_7","precip_m_prev","air_temp_degK_prev","wind_speed_mps_prev","solar_rad_KJpm2_prev","med_Blue_corr_scaled","med_Red_corr_scaled","med_Green_corr_scaled","med_Nir_corr_scaled","med_Swir1_corr_scaled","med_Swir2_corr_scaled","tot_sol_rad_KJpm2_3_scaled","mean_temp_degK_3_scaled","min_temp_degK_3_scaled","max_temp_degK_3_scaled","tot_precip_m_3_scaled","mean_wind_mps_3_scaled","tot_sol_rad_KJpm2_5_scaled","mean_temp_degK_5_scaled","min_temp_degK_5_scaled","max_temp_degK_5_scaled","tot_precip_m_5_scaled","mean_wind_mps_5_scaled","tot_sol_rad_KJpm2_7_scaled","mean_temp_degK_7_scaled","min_temp_degK_7_scaled","max_temp_degK_7_scaled","tot_precip_m_7_scaled","mean_wind_mps_7_scaled","precip_m_prev_scaled","air_temp_degK_prev_scaled","wind_speed_mps_prev_scaled","month"
2018-12-20,"F",2018-12-19,-1,"6.00","LANDSAT_8",0.0187303077462106,0.0114809263190623,0.0170153353337113,0.0129191993925052,0.00428964349587751,0.0060260838071091,0,1,26,0,886,893.269230769231,"1_LC08_018050_20181220",15.02,9,9,147.64224413,45.31991979,45366.412,290.932051340739,289.004987716675,293.054763793945,0.00036258399467215,0.552757766804749,53043.564,290.573410161336,288.789795557658,293.054763793945,0.00816876267623456,0.779818626215434,92495.564,291.293450400943,288.789795557658,293.365804036458,0.00818501048206599,0.688022152265271,3.33368777774012e-05,293.054763793945,0.37000994288776,18454.168,-0.556257367252872,-0.378804122155129,-0.722336170097092,-0.370318586511804,0.269232680669991,0.0897030721099904,-0.981109671739411,-1.62493247687361,-2.13227160146489,-0.88409502192595,-0.820374053405051,-0.196871832182918,-2.04693749029674,-1.83920451848801,-2.03903605383718,-1.06764680532404,-0.492374926484985,0.623197740487291,-1.42074974887084,-1.47140067500192,-1.81724180038041,-1.00517918594038,-0.692155896414923,0.253709796194353,-0.615634529291416,-0.63399459537011,-0.662607520331628,"12"
2018-12-20,"P",2018-12-19,-1,"4.50","LANDSAT_8",0.0159888811474697,0.00961338392854826,0.0120158128088004,0.0121664954220192,0.00417971916212724,0.00577066504286061,0,1,26,0,589,595.923076923077,"1_LC08_018050_20181220",15.02,9,9,147.64224413,45.31991979,45366.412,290.932051340739,289.004987716675,293.054763793945,0.00036258399467215,0.552757766804749,53043.564,290.573410161336,288.789795557658,293.054763793945,0.00816876267623456,0.779818626215434,92495.564,291.293450400943,288.789795557658,293.365804036458,0.00818501048206599,0.688022152265271,3.33368777774012e-05,293.054763793945,0.37000994288776,18454.168,-0.740120375546275,-0.543027673054803,-1.03180058938199,-0.430220150263785,0.266200857188865,0.0842030259396589,-0.981109671739411,-1.62493247687361,-2.13227160146489,-0.88409502192595,-0.820374053405051,-0.196871832182918,-2.04693749029674,-1.83920451848801,-2.03903605383718,-1.06764680532404,-0.492374926484985,0.623197740487291,-1.42074974887084,-1.47140067500192,-1.81724180038041,-1.00517918594038,-0.692155896414923,0.253709796194353,-0.615634529291416,-0.63399459537011,-0.662607520331628,"12"
2018-12-20,"R",2018-12-19,-1,"5.50","LANDSAT_8",0.0143990682454925,0.00955425938910908,0.0107798711319888,0.0134576729499295,0.00575559191251205,0.0105389378101181,0,1,24,0,302,309.75,"1_LC08_018050_20181220",15.02,9,9,147.64224413,45.31991979,45366.412,290.932051340739,289.004987716675,293.054763793945,0.00036258399467215,0.552757766804749,53043.564,290.573410161336,288.789795557658,293.054763793945,0.00816876267623456,0.779818626215434,92495.564,291.293450400943,288.789795557658,293.365804036458,0.00818501048206599,0.688022152265271,3.33368777774012e-05,293.054763793945,0.37000994288776,18454.168,-0.84674653249516,-0.548226827762792,-1.10830388972292,-0.327465872306003,0.309665009709789,0.186880370142673,-0.981109671739411,-1.62493247687361,-2.13227160146489,-0.88409502192595,-0.820374053405051,-0.196871832182918,-2.04693749029674,-1.83920451848801,-2.03903605383718,-1.06764680532404,-0.492374926484985,0.623197740487291,-1.42074974887084,-1.47140067500192,-1.81724180038041,-1.00517918594038,-0.692155896414923,0.253709796194353,-0.615634529291416,-0.63399459537011,-0.662607520331628,"12"
2019-01-05,"B",2019-01-04,-1,"5.50","LANDSAT_8",0.0346038772229623,0.0136708700553995,0.0270708581515342,0.0129845360907534,0.00868911088511443,0.0169265263630116,0,1,25,0,108,114.84,"1_LC08_018050_20190105",16.48,9,9,144.89925044,44.96272557,55790.676,293.526601367527,293.030103683472,293.928569157918,0.000115698575768874,0.51713235085612,89726.164,293.27893002828,292.691986083984,293.928569157918,0.000388769391463484,0.505582137390071,128072.704,293.258282161894,292.691986083984,293.928569157918,0.000428390378999666,0.466615468315272,1.46806239058606e-05,293.928569157918,0.373286417302086,18676.16,0.508357033763872,-0.186229999886984,-0.0999114257503133,-0.365118972122987,0.390574408020713,0.324427163391646,-0.138046340353731,-0.303688339657,-0.234843947440452,-0.420735038013644,-0.842751833411863,-0.328255058679064,-0.216405891222643,-0.409703482180951,-0.19136286444382,-0.587489292530489,-0.915948376694565,-0.463208048698914,-0.101418138456405,-0.414012871598623,-0.0373913730748051,-0.696744928815952,-1.01999387175574,-0.73579858627446,-0.619766457091774,-0.187233186867548,-0.652248096643063,"01"
2019-01-05,"D",2019-01-07,2,"5.00","LANDSAT_8",0.0258847940805061,0.00884405089788157,0.0198312508143178,0.0152596457802563,0.010523658566498,0.0193116690230654,0,1,27,0,30,37.3703703703704,"1_LC08_018050_20190105",16.48,9,9,144.89925044,44.96272557,55790.676,293.526601367527,293.030103683472,293.928569157918,0.000115698575768874,0.51713235085612,89726.164,293.27893002828,292.691986083984,293.928569157918,0.000388769391463484,0.505582137390071,128072.704,293.258282161894,292.691986083984,293.928569157918,0.000428390378999666,0.466615468315272,1.46806239058606e-05,293.928569157918,0.373286417302086,18676.16,-0.0764176440876478,-0.61067947189066,-0.548034395353757,-0.184061566486459,0.441173074830005,0.375787504092225,-0.138046340353731,-0.303688339657,-0.234843947440452,-0.420735038013644,-0.842751833411863,-0.328255058679064,-0.216405891222643,-0.409703482180951,-0.19136286444382,-0.587489292530489,-0.915948376694565,-0.463208048698914,-0.101418138456405,-0.414012871598623,-0.0373913730748051,-0.696744928815952,-1.01999387175574,-0.73579858627446,-0.619766457091774,-0.187233186867548,-0.652248096643063,"01"
2019-01-05,"E",2019-01-04,-1,"5.30","LANDSAT_8",0.0134889213175384,0.00383568222333487,0.00577177878921377,0.0102574898319493,0.00692873995925967,0.0138602682269602,0,1,25,0,60,67.44,"1_LC08_018050_20190105",16.48,9,9,144.89925044,44.96272557,55790.676,293.526601367527,293.030103683472,293.928569157918,0.000115698575768874,0.51713235085612,89726.164,293.27893002828,292.691986083984,293.928569157918,0.000388769391463484,0.505582137390071,128072.704,293.258282161894,292.691986083984,293.928569157918,0.000428390378999666,0.466615468315272,1.46806239058606e-05,293.928569157918,0.373286417302086,18676.16,-0.907788601700842,-1.05109361837885,-1.41829877040598,-0.582142319589698,0.342021610597147,0.258400059360909,-0.138046340353731,-0.303688339657,-0.234843947440452,-0.420735038013644,-0.842751833411863,-0.328255058679064,-0.216405891222643,-0.409703482180951,-0.19136286444382,-0.587489292530489,-0.915948376694565,-0.463208048698914,-0.101418138456405,-0.414012871598623,-0.0373913730748051,-0.696744928815952,-1.01999387175574,-0.73579858627446,-0.619766457091774,-0.187233186867548,-0.652248096643063,"01"
2019-01-05,"F",2019-01-04,-1,"5.00","LANDSAT_8",0.0301066593507393,0.0110885223397049,0.0205810448474162,0.0121173209042602,0.00861574655103521,0.0165858113559257,0,1,26,0,120,127.961538461538,"1_LC08_018050_20190105",16.48,9,9,144.89925044,44.96272557,55790.676,293.526601367527,293.030103683472,293.928569157918,0.000115698575768874,0.51713235085612,89726.164,293.27893002828,292.691986083984,293.928569157918,0.000388769391463484,0.505582137390071,128072.704,293.258282161894,292.691986083984,293.928569157918,0.000428390378999666,0.466615468315272,1.46806239058606e-05,293.928569157918,0.373286417302086,18676.16,0.206735970001833,-0.413310420488468,-0.501623048294126,-0.434133548659454,0.388550946034181,0.31709039518117,-0.138046340353731,-0.303688339657,-0.234843947440452,-0.420735038013644,-0.842751833411863,-0.328255058679064,-0.216405891222643,-0.409703482180951,-0.19136286444382,-0.587489292530489,-0.915948376694565,-0.463208048698914,-0.101418138456405,-0.414012871598623,-0.0373913730748051,-0.696744928815952,-1.01999387175574,-0.73579858627446,-0.619766457091774,-0.187233186867548,-0.652248096643063,"01"
2019-01-05,"G",2019-01-07,2,"5.00","LANDSAT_8",0.0247084422051443,0.00965279520257638,0.0212452419120166,0.0142386556565027,0.011551374304771,0.0222934359988523,0,1,24,0,59,65.2916666666667,"1_LC08_018050_20190105",16.48,9,9,144.89925044,44.96272557,55790.676,293.526601367527,293.030103683472,293.928569157918,0.000115698575768874,0.51713235085612,89726.164,293.27893002828,292.691986083984,293.928569157918,0.000388769391463484,0.505582137390071,128072.704,293.258282161894,292.691986083984,293.928569157918,0.000428390378999666,0.466615468315272,1.46806239058606e-05,293.928569157918,0.373286417302086,18676.16,-0.155313644700958,-0.539562017121501,-0.460510050430203,-0.265313834823347,0.469518506645832,0.439995222284936,-0.138046340353731,-0.303688339657,-0.234843947440452,-0.420735038013644,-0.842751833411863,-0.328255058679064,-0.216405891222643,-0.409703482180951,-0.19136286444382,-0.587489292530489,-0.915948376694565,-0.463208048698914,-0.101418138456405,-0.414012871598623,-0.0373913730748051,-0.696744928815952,-1.01999387175574,-0.73579858627446,-0.619766457091774,-0.187233186867548,-0.652248096643063,"01"
2019-01-05,"I",2019-01-07,2,"4.00","LANDSAT_8",0.027401399343855,0.00975130558805376,0.0171691012252447,0.0116742811696853,0.00854238356873876,0.015393347534064,0,1,25,0,119,123.36,"1_LC08_018050_20190105",16.48,9,9,144.89925044,44.96272557,55790.676,293.526601367527,293.030103683472,293.928569157918,0.000115698575768874,0.51713235085612,89726.164,293.27893002828,292.691986083984,293.928569157918,0.000388769391463484,0.505582137390071,128072.704,293.258282161894,292.691986083984,293.928569157918,0.000428390378999666,0.466615468315272,1.46806239058606e-05,293.928569157918,0.373286417302086,18676.16,0.025298596004649,-0.53089944250699,-0.712818246716988,-0.469391464049702,0.386527521331175,0.291412539852152,-0.138046340353731,-0.303688339657,-0.234843947440452,-0.420735038013644,-0.842751833411863,-0.328255058679064,-0.216405891222643,-0.409703482180951,-0.19136286444382,-0.587489292530489,-0.915948376694565,-0.463208048698914,-0.101418138456405,-0.414012871598623,-0.0373913730748051,-0.696744928815952,-1.01999387175574,-0.73579858627446,-0.619766457091774,-0.187233186867548,-0.652248096643063,"01"
2019-01-05,"J",2019-01-09,4,"4.50","LANDSAT_8",0.0146806231545434,0.00447524580807003,0.0140215326321257,0.0121992726428123,0.0102300741625999,0.0203339467401159,0,1,23,0,60,66.1304347826087,"1_LC08_018050_20190105",16.48,9,9,144.89925044,44.96272557,55790.676,293.526601367527,293.030103683472,293.928569157918,0.000115698575768874,0.51713235085612,89726.164,293.27893002828,292.691986083984,293.928569157918,0.000388769391463484,0.505582137390071,128072.704,293.258282161894,292.691986083984,293.928569157918,0.000428390378999666,0.466615468315272,1.46806239058606e-05,293.928569157918,0.373286417302086,18676.16,-0.827863104209445,-0.994853179904827,-0.907648949444209,-0.427611678862096,0.43307572223242,0.397800666121342,-0.138046340353731,-0.303688339657,-0.234843947440452,-0.420735038013644,-0.842751833411863,-0.328255058679064,-0.216405891222643,-0.409703482180951,-0.19136286444382,-0.587489292530489,-0.915948376694565,-0.463208048698914,-0.101418138456405,-0.414012871598623,-0.0373913730748051,-0.696744928815952,-1.01999387175574,-0.73579858627446,-0.619766457091774,-0.187233186867548,-0.652248096643063,"01"
2019-01-05,"K",2019-01-09,4,"4.50","LANDSAT_8",0.0265573642597952,0.00882430406752381,0.0166906538455348,0.0125267900447096,0.00978973811023623,0.0168413471504909,0,1,26,0,119,127.192307692308,"1_LC08_018050_20190105",16.48,9,9,144.89925044,44.96272557,55790.676,293.526601367527,293.030103683472,293.928569157918,0.000115698575768874,0.51713235085612,89726.164,293.27893002828,292.691986083984,293.928569157918,0.000388769391463484,0.505582137390071,128072.704,293.258282161894,292.691986083984,293.928569157918,0.000428390378999666,0.466615468315272,1.46806239058606e-05,293.928569157918,0.373286417302086,18676.16,-0.0313094597177569,-0.612415922220697,-0.742433562936199,-0.401547242777127,0.42093081184183,0.322592961417509,-0.138046340353731,-0.303688339657,-0.234843947440452,-0.420735038013644,-0.842751833411863,-0.328255058679064,-0.216405891222643,-0.409703482180951,-0.19136286444382,-0.587489292530489,-0.915948376694565,-0.463208048698914,-0.101418138456405,-0.414012871598623,-0.0373913730748051,-0.696744928815952,-1.01999387175574,-0.73579858627446,-0.619766457091774,-0.187233186867548,-0.652248096643063,"01"
2019-01-05,"M",2019-01-09,4,"4.50","LANDSAT_8",0.0242355318169433,0.0081325242196557,0.0159384232413892,0.0105217275152167,0.00634212267883697,0.0133492639072245,0,1,25,0,233,238.2,"1_LC08_018050_20190105",16.48,9,9,144.89925044,44.96272557,55790.676,293.526601367527,293.030103683472,293.928569157918,0.000115698575768874,0.51713235085612,89726.164,293.27893002828,292.691986083984,293.928569157918,0.000388769391463484,0.505582137390071,128072.704,293.258282161894,292.691986083984,293.928569157918,0.000428390378999666,0.466615468315272,1.46806239058606e-05,293.928569157918,0.373286417302086,18676.16,-0.187030972703748,-0.673248031646854,-0.788995730807299,-0.56111379967941,0.325842117080633,0.247396375430112,-0.138046340353731,-0.303688339657,-0.234843947440452,-0.420735038013644,-0.842751833411863,-0.328255058679064,-0.216405891222643,-0.409703482180951,-0.19136286444382,-0.587489292530489,-0.915948376694565,-0.463208048698914,-0.101418138456405,-0.414012871598623,-0.0373913730748051,-0.696744928815952,-1.01999387175574,-0.73579858627446,-0.619766457091774,-0.187233186867548,-0.652248096643063,"01"
