"date","location","obs_date","mission","date_diff","secchi","med_Blue_corr","med_Red_corr","med_Green_corr","med_Nir_corr","med_Swir1_corr","med_Swir2_corr","prop_clouds","prop_hillShadow","pCount_dswe1","pCount_dswe3","min_cloud_dist","mean_cloud_dist","system.index","CLOUD_COVER","IMAGE_QUALITY","IMAGE_QUALITY_TIRS","SUN_AZIMUTH","SUN_ELEVATION","tot_sol_rad_KJpm2_3","mean_temp_degK_3","min_temp_degK_3","max_temp_degK_3","tot_precip_m_3","mean_wind_mps_3","tot_sol_rad_KJpm2_5","mean_temp_degK_5","min_temp_degK_5","max_temp_degK_5","tot_precip_m_5","mean_wind_mps_5","tot_sol_rad_KJpm2_7","mean_temp_degK_7","min_temp_degK_7","max_temp_degK_7","tot_precip_m_7","mean_wind_mps_7","precip_m_prev","air_temp_degK_prev","wind_speed_mps_prev","solar_rad_KJpm2_prev","RN","BG","RB","GB","med_Blue_corr_scaled","med_Red_corr_scaled","med_Green_corr_scaled","med_Nir_corr_scaled","med_Swir1_corr_scaled","med_Swir2_corr_scaled","tot_sol_rad_KJpm2_3_scaled","mean_temp_degK_3_scaled","min_temp_degK_3_scaled","max_temp_degK_3_scaled","tot_precip_m_3_scaled","mean_wind_mps_3_scaled","tot_sol_rad_KJpm2_5_scaled","mean_temp_degK_5_scaled","min_temp_degK_5_scaled","max_temp_degK_5_scaled","tot_precip_m_5_scaled","mean_wind_mps_5_scaled","tot_sol_rad_KJpm2_7_scaled","mean_temp_degK_7_scaled","min_temp_degK_7_scaled","max_temp_degK_7_scaled","tot_precip_m_7_scaled","mean_wind_mps_7_scaled","precip_m_prev_scaled","air_temp_degK_prev_scaled","wind_speed_mps_prev_scaled","RN_scaled","BG_scaled","RB_scaled","GB_scaled"
2020-05-15,"F",2020-05-16,"LANDSAT_8",1,"2.50",0.0361732989770877,0.0195123127013619,0.0510505151151296,0.0142224124013663,0.012689511494911,0.0310705332719656,0,1,26,0,444,451.692307692308,"1_LC08_018050_20200515",32.99,9,9,75.28471462,66.55517125,65122.048,296.520809597439,295.554593404134,297.188697179159,0.00901560783375999,0.481763413164957,98000.552,296.156730906169,295.063112258911,297.188697179159,0.035019722580806,0.584701569825932,138591.844,296.180338269188,295.063112258911,297.284427007039,0.0407048374413357,0.598310288060429,0.0085643082857132,296.819138209025,0.211345891126369,19315.744,1.37194114125726,0.708578530412658,0.539412031889076,1.41127617769851,0.297821794109112,0.175868105256612,0.335364645117714,0.119185111861539,0.794896276338375,0.480079349106291,0.7307542363553,0.74522643742109,0.707357909079918,0.759490072525196,0.0934622120831446,0.25041719707886,0.627973464613564,0.717995673836803,0.671616938461336,0.689741617319557,0.255272065818516,0.325650446726284,0.649707762131037,0.702980604806029,0.671616938461336,0.656732311311704,0.242166141716805,0.379935184689855,0.175072448688029,0.740946951049287,0.115609852608601,0.564821566025363,0.420180148582811,0.136285806157879,0.592209566255982
2020-05-15,"P",2020-05-16,"LANDSAT_8",1,"2.50",0.0266740473606123,0.0116965750888176,0.0433909658119113,0.0053662068619281,0.00172553485769089,0.0131789315913086,0,1,26,0,463,470.961538461538,"1_LC08_018050_20200515",32.99,9,9,75.28471462,66.55517125,65122.048,296.520809597439,295.554593404134,297.188697179159,0.00901560783375999,0.481763413164957,98000.552,296.156730906169,295.063112258911,297.188697179159,0.035019722580806,0.584701569825932,138591.844,296.180338269188,295.063112258911,297.284427007039,0.0407048374413357,0.598310288060429,0.0085643082857132,296.819138209025,0.211345891126369,19315.744,2.1796727911855,0.614737350540604,0.438500199489378,1.62671098335019,0.24451235695447,0.116590043284812,0.281186651425519,0.0579592875468475,0.772888682245944,0.456716904432687,0.7307542363553,0.74522643742109,0.707357909079918,0.759490072525196,0.0934622120831446,0.25041719707886,0.627973464613564,0.717995673836803,0.671616938461336,0.689741617319557,0.255272065818516,0.325650446726284,0.649707762131037,0.702980604806029,0.671616938461336,0.656732311311704,0.242166141716805,0.379935184689855,0.175072448688029,0.740946951049287,0.115609852608601,0.579090655188324,0.398117159817283,0.130372595083291,0.593715103608186
2020-05-15,"R",2020-05-16,"LANDSAT_8",1,"2.50",0.0233154146332773,0.0101450928500638,0.0425218704996815,0.0064263073954522,0.00179877212418896,0.0130086005040577,0,1,24,0,316,323.583333333333,"1_LC08_018050_20200515",32.99,9,9,75.28471462,66.55517125,65122.048,296.520809597439,295.554593404134,297.188697179159,0.00901560783375999,0.481763413164957,98000.552,296.156730906169,295.063112258911,297.188697179159,0.035019722580806,0.584701569825932,138591.844,296.180338269188,295.063112258911,297.284427007039,0.0407048374413357,0.598310288060429,0.0085643082857132,296.819138209025,0.211345891126369,19315.744,1.57868153914382,0.548315828050225,0.435123844445127,1.82376642957022,0.225663838404562,0.10482290563815,0.275039313184075,0.0652881067270733,0.773035688764369,0.45649448999081,0.7307542363553,0.74522643742109,0.707357909079918,0.759490072525196,0.0934622120831446,0.25041719707886,0.627973464613564,0.717995673836803,0.671616938461336,0.689741617319557,0.255272065818516,0.325650446726284,0.649707762131037,0.702980604806029,0.671616938461336,0.656732311311704,0.242166141716805,0.379935184689855,0.175072448688029,0.740946951049287,0.115609852608601,0.568473765578632,0.382500803474657,0.13017474811565,0.595092199262912
2020-07-02,"F",2020-07-02,"LANDSAT_8",0,"2.25",0.0241763228097463,0.0316034658484117,0.0395083923175713,0.025864175745257,0.028288889369481,0.0536673629027128,0,1,26,0,331,339.192307692308,"1_LC08_018050_20200702",68.82,9,9,66.96112143,64.09450113,66067.86,295.650999916924,295.627969106038,295.672780990601,0.00224182786327631,0.618619097313199,99976.14,295.525305175781,295.106508255005,295.672780990601,0.00433020474288881,0.5954170130764,151640.488,295.676813943045,295.106508255005,296.170739491781,0.0046939623490907,0.668304697918669,0.000842493296829616,295.672780990601,0.597004563679353,22612.316,1.22190114077798,0.611928792632595,1.30720730762543,1.63417706772364,0.23049522220008,0.267572837566327,0.25372419456824,0.199668401689462,0.826208343822406,0.509585772928476,0.74441694987041,0.6755877619102,0.712785807716983,0.635374578845279,0.0232403843506633,0.330243088070299,0.647392436710683,0.66694562363365,0.674830063013144,0.577024381845276,0.0315397275574227,0.332643035526966,0.745905275663047,0.661213729480524,0.674830063013144,0.562961489049516,0.0277622738767672,0.43697397100713,0.0172223324474743,0.651149729684117,0.3405837196031,0.562171014762403,0.397456840097772,0.181276917899039,0.593767279341188
2020-07-02,"R",2020-07-02,"LANDSAT_8",0,"3.25",0.0456629347705666,0.0314180453264665,0.0398938863827029,0.0306550026437602,0.0284732067440045,0.0418972655863954,0,1,24,0,305,312.5,"1_LC08_018050_20200702",68.82,9,9,66.96112143,64.09450113,66067.86,295.650999916924,295.627969106038,295.672780990601,0.00224182786327631,0.618619097313199,99976.14,295.525305175781,295.106508255005,295.672780990601,0.00433020474288881,0.5954170130764,151640.488,295.676813943045,295.106508255005,296.170739491781,0.0046939623490907,0.668304697918669,0.000842493296829616,295.672780990601,0.597004563679353,22612.316,1.02489129397813,1.14460983651783,0.688042621095785,0.873660148721271,0.351077267632468,0.266166525106059,0.25645089482204,0.23278894351786,0.826578317427505,0.494216648785014,0.74441694987041,0.6755877619102,0.712785807716983,0.635374578845279,0.0232403843506633,0.330243088070299,0.647392436710683,0.66694562363365,0.674830063013144,0.577024381845276,0.0315397275574227,0.332643035526966,0.745905275663047,0.661213729480524,0.674830063013144,0.562961489049516,0.0277622738767672,0.43697397100713,0.0172223324474743,0.651149729684117,0.3405837196031,0.558690711532713,0.522695417691034,0.144995231259173,0.588452508475459
2020-07-18,"E",2020-07-18,"LANDSAT_8",0,"3.00",0.0267615041478332,0.0154602077599449,0.0332218924462161,0.0111481036902917,0.0172085468362354,0.0419825351057748,0,1,25,0,74,81.44,"1_LC08_018050_20200718",31.42,9,9,71.89977258,64.09312504,62309.916,295.12259165446,294.72100575765,295.461292266846,0.0144628915808944,0.802946456134158,104511.414,295.384958902995,294.72100575765,295.946659723918,0.0173553887627627,0.758886565016997,152951.998,295.448707580566,294.72100575765,295.946659723918,0.0185458335896946,0.704061663516687,0.00408011972893974,294.72100575765,1.06181814476538,19170.83,1.38680157535747,0.805538221254499,0.57770324397841,1.2414060234692,0.245003161103085,0.145135122684624,0.20925813829086,0.0979314175795835,0.803967172672064,0.494327991775116,0.690131624374619,0.633282356082554,0.645694045800723,0.61805895971362,0.149932635180443,0.437758502892555,0.691971751455857,0.655598787534416,0.646286703013937,0.597388867631299,0.12649576083361,0.439318544083495,0.755574019861476,0.642292518512242,0.646286703013937,0.544094307908527,0.110234437166329,0.466112496844125,0.0834062165974833,0.57659463471932,0.611732577934862,0.565084084968622,0.442976330095759,0.138529586832569,0.591022451381747
2020-07-18,"R",2020-07-18,"LANDSAT_8",0,"3.20",0.0183324875966248,0.0095542593891091,0.02639295784745,0.00831624032602938,0.0118450560370291,0.0302182450733675,0,1,24,0,56,63.9583333333333,"1_LC08_018050_20200718",31.42,9,9,71.89977258,64.09312504,62309.916,295.12259165446,294.72100575765,295.461292266846,0.0144628915808944,0.802946456134158,104511.414,295.384958902995,294.72100575765,295.946659723918,0.0173553887627627,0.758886565016997,152951.998,295.448707580566,294.72100575765,295.946659723918,0.0185458335896946,0.704061663516687,0.00408011972893974,294.72100575765,1.06181814476538,19170.83,1.14886763904655,0.694597691648874,0.521165463156682,1.43968229670638,0.197699842246604,0.100341759487943,0.160955299446164,0.078353826696961,0.793201231414336,0.478966450650294,0.690131624374619,0.633282356082554,0.645694045800723,0.61805895971362,0.149932635180443,0.437758502892555,0.691971751455857,0.655598787534416,0.646286703013937,0.597388867631299,0.12649576083361,0.439318544083495,0.755574019861476,0.642292518512242,0.646286703013937,0.544094307908527,0.110234437166329,0.466112496844125,0.0834062165974833,0.57659463471932,0.611732577934862,0.560880831880277,0.416893115224976,0.135216597426496,0.592408078622951
2020-08-19,"E",2020-08-19,"LANDSAT_8",0,"3.50",0.0198576724271704,0.00955425938910908,0.0281208356366554,0.00856600449788607,0.000846793098770165,0.00687749965373924,0,1,25,0,123,130.04,"1_LC08_018050_20200819",36.48,9,9,91.45777395,65.01146133,53743.012,294.627517700195,294.36137453715,295.122004826864,0.0268263995647331,0.546913977665804,87894.23,294.662236531576,294.36137453715,295.122004826864,0.0368818998335669,0.642547565944413,131642.812,294.835052853539,294.36137453715,295.454847335815,0.0426177230470799,0.688094045252816,0.00612395405768851,294.36137453715,0.548740735643814,17179.88,1.11536941072899,0.706155132932323,0.481136921970593,1.41611942385447,0.206259121246243,0.100341759487943,0.173177030550515,0.0800805275100919,0.771124815668853,0.448488638588545,0.566378537013234,0.593645760598197,0.619090664014321,0.590279832852512,0.278101564728399,0.288418555168174,0.528633731368324,0.597167508021609,0.619658903027904,0.536070952486745,0.268847687084943,0.36339907318695,0.598477948530914,0.591390428690739,0.619658903027904,0.502684440778549,0.253555203258811,0.453100406764455,0.125186482873466,0.548423761105021,0.312429030491005,0.560289064544297,0.419610383886161,0.13287101309399,0.592243412634573
2020-08-19,"F",2020-08-19,"LANDSAT_8",0,"3.00",0.0362554240786821,0.0170284764644,0.0284931838716486,0.01327832190744,0.00432628561635235,0.00815468101734447,0,1,26,0,268,273.230769230769,"1_LC08_018050_20200819",36.48,9,9,91.45777395,65.01146133,53743.012,294.627517700195,294.36137453715,295.122004826864,0.0268263995647331,0.546913977665804,87894.23,294.662236531576,294.36137453715,295.122004826864,0.0368818998335669,0.642547565944413,131642.812,294.835052853539,294.36137453715,295.454847335815,0.0426177230470799,0.688094045252816,0.00612395405768851,294.36137453715,0.548740735643814,17179.88,1.28242684452911,1.27242445919696,0.469680796656647,0.78590127120875,0.298282677041687,0.157029576421392,0.175810746912688,0.112658307751032,0.778109075258996,0.450156352831124,0.566378537013234,0.593645760598197,0.619090664014321,0.590279832852512,0.278101564728399,0.288418555168174,0.528633731368324,0.597167508021609,0.619658903027904,0.536070952486745,0.268847687084943,0.36339907318695,0.598477948530914,0.591390428690739,0.619658903027904,0.502684440778549,0.253555203258811,0.453100406764455,0.125186482873466,0.548423761105021,0.312429030491005,0.563240239502517,0.552745898600211,0.1321997093879,0.587839217286587
2020-08-19,"P",2020-08-19,"LANDSAT_8",0,"3.00",0.031016935556298,0.0182436273578153,0.0375622032827202,0.0297664199573984,0.00865242854910198,0.011986639782511,0,1,26,0,18,25.0384615384615,"1_LC08_018050_20200819",36.48,9,9,91.45777395,65.01146133,53743.012,294.627517700195,294.36137453715,295.122004826864,0.0268263995647331,0.546913977665804,87894.23,294.662236531576,294.36137453715,295.122004826864,0.0368818998335669,0.642547565944413,131642.812,294.835052853539,294.36137453715,295.454847335815,0.0426177230470799,0.688094045252816,0.00612395405768851,294.36137453715,0.548740735643814,17179.88,0.612892896892724,0.825748567591794,0.588182779201439,1.2110223853205,0.268884479589479,0.166245826190236,0.239958290977845,0.226645882903245,0.786792785631615,0.455160037031154,0.566378537013234,0.593645760598197,0.619090664014321,0.590279832852512,0.278101564728399,0.288418555168174,0.528633731368324,0.597167508021609,0.619658903027904,0.536070952486745,0.268847687084943,0.36339907318695,0.598477948530914,0.591390428690739,0.619658903027904,0.502684440778549,0.253555203258811,0.453100406764455,0.125186482873466,0.548423761105021,0.312429030491005,0.551412499934182,0.447727982246714,0.139143664510714,0.590810119386505
2020-08-19,"R",2020-08-19,"LANDSAT_8",0,"3.00",0.0225397840233168,0.00700324443697155,0.0229296215019415,0.00555163502832388,4.84823945242208e-06,0.00696264292781633,0,1,24,0,100,106.791666666667,"1_LC08_018050_20200819",36.48,9,9,91.45777395,65.01146133,53743.012,294.627517700195,294.36137453715,295.122004826864,0.0268263995647331,0.546913977665804,87894.23,294.662236531576,294.36137453715,295.122004826864,0.0368818998335669,0.642547565944413,131642.812,294.835052853539,294.36137453715,295.454847335815,0.0426177230470799,0.688094045252816,0.00612395405768851,294.36137453715,0.548740735643814,17179.88,1.26147421457673,0.982998520992085,0.310705924676425,1.0172955285739,0.221311029054276,0.0809937171251731,0.136458216490895,0.0592412126657019,0.769434810178585,0.448599816730416,0.566378537013234,0.593645760598197,0.619090664014321,0.590279832852512,0.278101564728399,0.288418555168174,0.528633731368324,0.597167508021609,0.619658903027904,0.536070952486745,0.268847687084943,0.36339907318695,0.598477948530914,0.591390428690739,0.619658903027904,0.502684440778549,0.253555203258811,0.453100406764455,0.125186482873466,0.548423761105021,0.312429030491005,0.562870098076196,0.484699000300628,0.122884132104048,0.589456285134538
