date,location,secchi
8/26/19,B,2.50
8/26/19,B,2.50
8/26/19,E,3.00
8/26/19,E,3.00
8/26/19,F,3.00
8/26/19,F,3.00
8/26/19,P,3.00
8/26/19,P,3.00
8/26/19,R,3.50
8/26/19,R,3.50
9/10/19,B,2.00
9/10/19,B,2.00
9/10/19,E,2.50
9/10/19,E,2.50
9/10/19,F,1.90
9/10/19,F,1.90
9/10/19,P,2.50
9/10/19,P,2.50
9/10/19,R,2.70
9/10/19,R,2.70
9/26/19,B,2.00
9/26/19,B,2.00
9/26/19,E,2.50
9/26/19,E,2.50
9/26/19,F,2.75
9/26/19,F,2.75
9/26/19,P,2.50
9/26/19,P,2.50
9/26/19,R,2.50
9/26/19,R,2.50
10/11/19,B,2.50
10/11/19,B,2.50
10/11/19,E,2.50
10/11/19,E,2.50
10/11/19,F,2.75
10/11/19,F,2.75
10/11/19,P,3.00
10/11/19,P,3.00
10/11/19,R,3.00
10/11/19,R,3.00
10/28/19,B,1.50
10/28/19,B,1.50
10/28/19,E,2.50
10/28/19,E,2.50
10/28/19,F,2.10
10/28/19,F,2.10
10/28/19,P,2.00
10/28/19,P,2.00
10/28/19,R,2.50
10/28/19,R,2.50
11/13/19,B,2.00
11/13/19,B,2.00
11/13/19,E,3.00
11/13/19,E,3.00
11/13/19,F,2.00
11/13/19,F,2.00
11/13/19,P,2.50
11/13/19,P,2.50
11/13/19,R,2.50
11/13/19,R,2.50
11/29/19,B,1.50
11/29/19,B,1.50
11/29/19,E,2.00
11/29/19,E,2.00
11/29/19,F,2.00
11/29/19,F,2.00
11/29/19,P,2.00
11/29/19,P,2.00
11/29/19,R,2.50
11/29/19,R,2.50
1/6/20,B,2.50
1/6/20,C,2.25
1/6/20,D,2.30
1/6/20,E,2.50
1/6/20,G,3.00
1/6/20,H,2.75
1/6/20,I,2.50
1/6/20,J,2.50
1/7/20,F,2.50
1/7/20,K,2.00
1/7/20,L,2.00
1/7/20,M,2.25
1/7/20,N,2.70
1/7/20,Q,2.30
1/7/20,R,2.50
1/8/20,O,2.50
1/8/20,P,2.50
1/16/20,B,2.25
1/16/20,B,2.25
1/16/20,E,2.50
1/16/20,E,2.50
1/16/20,P,2.25
1/16/20,P,2.25
1/16/20,R,2.50
1/16/20,R,2.50
1/31/20,B,1.70
1/31/20,B,1.70
1/31/20,E,2.00
1/31/20,E,2.00
1/31/20,F,1.75
1/31/20,F,1.75
1/31/20,P,2.00
1/31/20,P,2.00
1/31/20,R,1.75
1/31/20,R,1.75
2/17/20,B,2.00
2/17/20,B,2.00
2/17/20,P,2.00
2/17/20,P,2.00
2/17/20,R,2.00
2/17/20,R,2.00
3/4/20,B,2.25
3/4/20,B,2.25
3/4/20,F,2.25
3/4/20,F,2.25
3/4/20,P,2.00
3/4/20,P,2.00
3/4/20,R,2.75
3/4/20,R,2.75
5/16/20,B,2..5
5/16/20,E,2.50
5/16/20,F,2.50
5/16/20,P,2.50
5/16/20,R,2.50
5/31/20,B,2.50
5/31/20,E,2.50
5/31/20,F,2.25
5/31/20,P,3.00
5/31/20,R,2.75
6/16/20,B,2.25
6/16/20,E,2.50
6/16/20,F,2.50
6/16/20,P,2.50
6/16/20,R,1.75
7/2/20,B ,2.50
7/2/20,E,3.00
7/2/20,F,2.25
7/2/20,P,2.75
7/2/20,R,3.25
7/18/20,B ,2.50
7/18/20,E,3.00
7/18/20,F,2.50
7/18/20,P,2.00
7/18/20,R,3.20
8/3/20,B ,3.25
8/3/20,E,2.50
8/3/20,F,3.50
8/3/20,P,2.75
8/3/20,R,2.75
8/19/20,B ,2.50
8/19/20,E,3.50
8/19/20,F,3.00
8/19/20,P,3.00
8/19/20,R,3.00
9/4/20,B ,2.75
9/4/20,E,3.00
9/4/20,F,2.75
9/4/20,P,2.75
9/4/20,R,2.50
9/21/20,B,2.75
9/21/20,E,3.00
9/21/20,F,3.00
9/21/20,P,3.00
9/21/20,R,3.00
10/6/20,B ,3.50
10/6/20,E,2.90
10/6/20,F,3.40
10/6/20,P,2.75
10/6/20,R,2.25
10/22/20,B ,3.75
10/22/20,E,4.25
10/22/20,F,4.50
10/22/20,P,4.25
10/22/20,R,6.00
11/7/20,B ,3.50
11/7/20,E,3.00
11/7/20,F,3.25
11/7/20,P,3.00
11/7/20,R,2.50
11/27/20,B ,2.00
11/27/20,E,2.50
11/27/20,F,2.25
11/27/20,P,2.50
11/27/20,R,2.50
12/9/20,B ,1.50
12/9/20,E,2.75
12/9/20,F,2.00
12/9/20,P,2.50
12/9/20,R,2.75
12/27/20,B ,7.00
12/27/20,E,5.00
12/27/20,F,6.00
12/27/20,P,5.00
12/27/20,R,5.25
1/11/21,B ,4.75
1/11/21,E,5.75
1/11/21,F,4.50
1/11/21,P,4.75
1/11/21,R,4.50
1/26/21,B ,6.00
1/26/21,E,5.50
1/26/21,F,5.50
1/26/21,P,6.00
1/26/21,R,2.50
2/11/21,B ,4.50
2/11/21,E,5.00
2/11/21,F,5.50
2/11/21,P,5.50
2/11/21,R,6.00
2/27/21,B ,3.75
2/27/21,E,3.75
2/27/21,F,4.00
2/27/21,P,4.00
2/27/21,R,3.50
3/15/21,B ,4.00
3/15/21,E,4.50
3/15/21,F,4.30
3/15/21,P,3.50
3/15/21,R,4.50
3/31/21,B ,2.50
3/31/21,E,2.50
3/31/21,F,2.00
3/31/21,P,3.00
3/31/21,R,2.75
4/16/21,B ,1.40
4/16/21,E,1.25
4/16/21,F,1.50
4/16/21,P,1.15
4/16/21,R,1.25
5/2/21,B ,1.65
5/2/21,E,1.75
5/2/21,F,1.75
5/2/21,P,1.75
5/2/21,R,1.75
5/18/21,B ,1.80
5/18/21,E,1.80
5/18/21,F,1.70
5/18/21,P,1.75
5/18/21,R,2.25
6/3/21,B ,2.25
6/3/21,E,2.40
6/3/21,F,2.15
6/3/21,P,2.45
6/3/21,R,2.70
6/9/21,B,2.25
6/9/21,E,2.60
6/9/21,R,2.50
6/19/21,B ,3.30
6/19/21,E,2.50
6/19/21,F,4.00
