"date","location","mission","med_Blue_corr","med_Red_corr","med_Green_corr","med_Nir_corr","med_Swir1_corr","med_Swir2_corr","prop_clouds","prop_hillShadow","pCount_dswe1","pCount_dswe3","min_cloud_dist","mean_cloud_dist","system.index","CLOUD_COVER","IMAGE_QUALITY","IMAGE_QUALITY_TIRS","SUN_AZIMUTH","SUN_ELEVATION","tot_sol_rad_KJpm2_3","max_temp_degK_3","min_temp_degK_3","tot_precip_m_3","mean_wind_mps_3","tot_sol_rad_KJpm2_5","max_temp_degK_5","min_temp_degK_5","tot_precip_m_5","mean_wind_mps_5","tot_sol_rad_KJpm2_7","max_temp_degK_7","min_temp_degK_7","tot_precip_m_7","mean_wind_mps_7"
"2020-11-15","I","LANDSAT_7",0.02664125,0.018845,0.02972125,0.0256925,0.0115025,0.0121075,0,1,16,0,154,160.75,"2_LE07_018050_20201115",22,9,NA,136.88580852,45.21560592,48236.992,293.843410491943,293.426795959473,0.00255942052643832,0.367620802801179,84950.564,294.676385243734,293.426795959473,0.00285013026029901,0.330598873175525,116315.468,294.676385243734,293.426795959473,0.00742109890143183,0.312030520121151
"2020-11-15","M","LANDSAT_7",0.02407,0.01428,0.0232725,0.0309725,0.014445,0.00908249999999999,0,1,13,1,221,229.692307692308,"2_LE07_018050_20201115",22,9,NA,136.88580852,45.21560592,48236.992,293.843410491943,293.426795959473,0.00255942052643832,0.367620802801179,84950.564,294.676385243734,293.426795959473,0.00285013026029901,0.330598873175525,116315.468,294.676385243734,293.426795959473,0.00742109890143183,0.312030520121151
"2020-12-17","R","LANDSAT_7",0.0123,-0.00202750000000001,0.00800999999999999,-0.000405000000000016,0.0013825,0.000585000000000002,0,1,19,0,84,90.6315789473684,"2_LE07_018050_20201217",61,9,NA,138.16933591,39.59539985,47560.136,292.950331370036,292.791540781657,0.00513182580448301,0.506325036533316,77514.964,293.310803731283,292.791540781657,0.00560983121357594,0.4084689944841,107083.768,293.310803731283,291.543611526489,0.00581066310367717,0.367994805802327
"2021-01-02","B","LANDSAT_7",0.01943625,0.003335,0.00778999999999999,0.00448999999999999,0.00369249999999998,0.00184999999999999,0,1,24,0,33,41,"2_LE07_018050_20210102",21,9,NA,135.83181047,38.4825525,51183,293.97838083903,293.329746246338,5.1117413022439e-05,0.627028376660915,75431.756,293.97838083903,290.276213328044,0.00193671038692855,0.61484065732187,98372.068,293.97838083903,289.664145787557,0.00295969596436407,0.640084026184643
"2021-01-02","E","LANDSAT_7",0.01516,0.00514999999999998,0.00946749999999999,0.00421499999999999,0.000502499999999989,-0.00147749999999999,0,1,19,0,164,172.315789473684,"2_LE07_018050_20210102",21,9,NA,135.83181047,38.4825525,51183,293.97838083903,293.329746246338,5.1117413022439e-05,0.627028376660915,75431.756,293.97838083903,290.276213328044,0.00193671038692855,0.61484065732187,98372.068,293.97838083903,289.664145787557,0.00295969596436407,0.640084026184643
"2021-01-02","I","LANDSAT_7",0.01274,0.0052325,0.00955,0.00424249999999998,0.000530000000000003,0.00184999999999999,0,1,25,0,144,151.56,"2_LE07_018050_20210102",21,9,NA,135.83181047,38.4825525,51183,293.97838083903,293.329746246338,5.1117413022439e-05,0.627028376660915,75431.756,293.97838083903,290.276213328044,0.00193671038692855,0.61484065732187,98372.068,293.97838083903,289.664145787557,0.00295969596436407,0.640084026184643
"2021-01-02","K","LANDSAT_7",0.0151325,0.0050675,0.009385,0.00418749999999998,0.00363749999999998,0.0018225,0,1,25,0,55,62.84,"2_LE07_018050_20210102",21,9,NA,135.83181047,38.4825525,51183,293.97838083903,293.329746246338,5.1117413022439e-05,0.627028376660915,75431.756,293.97838083903,290.276213328044,0.00193671038692855,0.61484065732187,98372.068,293.97838083903,289.664145787557,0.00295969596436407,0.640084026184643
"2021-01-02","O","LANDSAT_7",0.0133725,0.00286749999999999,0.00715749999999998,0.00421499999999999,0.000502499999999989,0.0018225,0,1,19,0,231,238.736842105263,"2_LE07_018050_20210102",21,9,NA,135.83181047,38.4825525,51183,293.97838083903,293.329746246338,5.1117413022439e-05,0.627028376660915,75431.756,293.97838083903,290.276213328044,0.00193671038692855,0.61484065732187,98372.068,293.97838083903,289.664145787557,0.00295969596436407,0.640084026184643
"2021-01-02","Q","LANDSAT_7",0.01267125,0.00272999999999998,0.00941249999999999,0.00418749999999998,0.000502499999999989,0.000172500000000006,0,1,22,0,87,93.2272727272727,"2_LE07_018050_20210102",21,9,NA,135.83181047,38.4825525,51183,293.97838083903,293.329746246338,5.1117413022439e-05,0.627028376660915,75431.756,293.97838083903,290.276213328044,0.00193671038692855,0.61484065732187,98372.068,293.97838083903,289.664145787557,0.00295969596436407,0.640084026184643
"2021-02-03","A","LANDSAT_7",0.017635,0.00361,0.0151875,0.00677249999999998,0.00314249999999999,0.0015475,0,1,25,0,16,24.56,"2_LE07_018050_20210203",6,9,NA,126.98064025,40.46603363,36482.776,291.762303670247,288.204959869385,0.0205900736950184,1.23854575855538,69947.916,293.130902608236,288.204959869385,0.0222518115517119,1.05036774384789,102688.516,293.130902608236,288.204959869385,0.0277342490464889,1.1579642623897
