date,location,mission,est_secchi_stringent,est_secchi_verystringent,est_secchi_highsecchi,est_secchi_stepwise
2011-04-13,K,LANDSAT_7,2.7994892597198486,3.1815989017486572,2.423336982727051,2.969211594602512
2011-04-13,L,LANDSAT_7,2.4416708946228027,2.674577474594116,2.5175325870513916,3.088525642723267
2011-04-13,M,LANDSAT_7,2.671527624130249,3.2673721313476562,2.2788608074188232,2.812842846539105
2011-04-13,N,LANDSAT_7,2.4416708946228027,2.7428171634674072,3.015512228012085,3.4506441728283384
2011-04-13,O,LANDSAT_7,2.313709259033203,2.674577474594116,2.7768404483795166,2.73131768167717
2011-04-13,P,LANDSAT_7,2.5952959060668945,2.949333429336548,2.2788608074188232,2.6646089878702948
2011-04-13,Q,LANDSAT_7,2.5952959060668945,3.2498385906219482,2.7768404483795166,2.5959032356032785
2011-04-13,R,LANDSAT_7,2.9583652019500732,2.9525578022003174,2.423336982727051,2.81745460288441
2011-08-19,B,LANDSAT_7,3.018890380859375,4.091320514678955,3.2289791107177734,3.68268672437847
2011-08-19,D,LANDSAT_7,3.1774466037750244,3.7753429412841797,3.1765880584716797,3.956746049549833
2011-10-06,A,LANDSAT_7,3.7521708011627197,4.21049165725708,4.000721454620361,4.3962205284597005
2011-10-06,B,LANDSAT_7,4.453892230987549,4.180487632751465,3.912405490875244,4.301230636140078
2011-10-06,C,LANDSAT_7,4.453892230987549,4.400052070617676,3.7357089519500732,4.313309848341472
2011-10-06,D,LANDSAT_7,3.7521708011627197,4.21049165725708,4.000721454620361,4.406606537471083
2011-10-06,F,LANDSAT_7,4.453892230987549,4.180487632751465,3.912405490875244,4.289425348076124
2011-10-06,I,LANDSAT_7,3.3219211101531982,4.08956241607666,3.7357089519500732,4.01714357665166
2011-10-06,K,LANDSAT_7,3.573340892791748,3.9918344020843506,3.6866393089294434,3.551214088651789
2011-10-06,M,LANDSAT_7,3.8571865558624268,4.508688449859619,4.000721454620361,4.060750650146784
2011-10-06,P,LANDSAT_7,2.8281538486480713,3.1682288646698,3.1347837448120117,3.436864639684406
2011-10-06,Q,LANDSAT_7,3.3219211101531982,3.7442052364349365,3.20925235748291,3.691168799348419
2011-11-23,A,LANDSAT_7,3.7801876068115234,3.41733980178833,3.7524991035461426,4.287381368988889
2011-11-23,C,LANDSAT_7,3.349937915802002,3.12032151222229,3.3932909965515137,3.8314710571006967
2011-11-23,E,LANDSAT_7,3.068916082382202,2.609652280807495,2.9445242881774902,3.3443337199983847
2011-11-23,F,LANDSAT_7,3.0660922527313232,3.12032151222229,3.392517566680908,3.6512872641597327
2011-11-23,H,LANDSAT_7,4.639346122741699,3.2495148181915283,4.1602301597595215,4.9594507980836084
2011-11-23,I,LANDSAT_7,3.7801876068115234,3.334341049194336,3.7524991035461426,4.109805138229083
2011-11-23,K,LANDSAT_7,4.836958408355713,2.4296762943267822,3.343447685241699,4.022094642613148
2011-11-23,L,LANDSAT_7,3.349937915802002,2.9942264556884766,3.2256577014923096,4.419018148193958
2011-11-23,M,LANDSAT_7,3.349937915802002,2.9942264556884766,3.486713171005249,4.1823261584488804
2011-12-25,E,LANDSAT_7,2.99643874168396,2.553495168685913,3.288679361343384,3.8477547440016626
2011-12-25,G,LANDSAT_7,3.507800817489624,2.428698778152466,3.0722477436065674,3.4692697932325385
2011-12-25,I,LANDSAT_7,3.4266884326934814,2.691432476043701,3.5700972080230713,4.3807942478477315
2011-12-25,K,LANDSAT_7,3.4931886196136475,2.4974629878997803,3.288679361343384,4.061063712845447
2011-12-25,L,LANDSAT_7,3.101454496383667,2.7458527088165283,3.8311526775360107,4.5555805471473345
2011-12-25,N,LANDSAT_7,2.99643874168396,2.784522771835327,3.305084705352783,4.619193795732338
2011-12-25,O,LANDSAT_7,3.4931886196136475,3.246856212615967,3.815135955810547,4.401657751292859
2011-12-25,Q,LANDSAT_7,3.4931886196136475,2.6296067237854004,3.288679361343384,4.283836676120014
2011-12-25,R,LANDSAT_7,3.4931886196136475,3.1147122383117676,3.815135955810547,4.88749023895814
2012-01-10,A,LANDSAT_7,3.5588979721069336,3.314222574234009,3.69535231590271,4.934704275842143
2012-01-10,B,LANDSAT_7,3.5588979721069336,3.111006259918213,3.9564077854156494,4.619461730488449
2012-01-10,C,LANDSAT_7,3.5588979721069336,3.111006259918213,3.5971996784210205,4.456120837503587
2012-01-10,D,LANDSAT_7,3.5588979721069336,3.314222574234009,3.5971996784210205,4.301496341883326
2012-01-10,E,LANDSAT_7,3.5588979721069336,3.314222574234009,3.5971996784210205,4.2208062540941835
2012-01-10,F,LANDSAT_7,3.5588979721069336,3.314222574234009,3.5971996784210205,4.430680585858816
2012-01-10,G,LANDSAT_7,3.5588979721069336,3.314222574234009,3.430339813232422,4.823674852826064
2012-01-10,H,LANDSAT_7,4.055647373199463,2.8379323482513428,3.9564077854156494,4.3830897167800265
2012-01-10,J,LANDSAT_7,3.989147901535034,3.397221326828003,3.69535231590271,4.730558129590418
2012-01-10,M,LANDSAT_7,3.5588979721069336,3.314222574234009,3.5971996784210205,4.2720228756566305
2012-01-10,O,LANDSAT_7,3.5588979721069336,3.111006259918213,3.9564077854156494,4.6149998901288845
2012-01-10,P,LANDSAT_7,3.5588979721069336,3.314222574234009,3.69535231590271,4.551877540945433
2012-01-10,R,LANDSAT_7,3.5588979721069336,3.314222574234009,3.430339813232422,4.718449948346168
2012-01-26,A,LANDSAT_7,4.120946407318115,3.7367453575134277,3.4452292919158936,4.87944592984575
2012-01-26,B,LANDSAT_7,4.120946407318115,3.7367453575134277,3.4452292919158936,4.379632133754666
2012-01-26,D,LANDSAT_7,4.120946407318115,3.7367453575134277,3.4452292919158936,4.859799861678472
2012-01-26,F,LANDSAT_7,4.120946407318115,3.7367453575134277,3.612089157104492,4.275303932199603
2012-01-26,G,LANDSAT_7,4.135558605194092,3.533529043197632,3.612089157104492,4.171153824017796
2012-01-26,I,LANDSAT_7,4.120946407318115,3.7367453575134277,3.4452292919158936,4.305425572178552
2012-01-26,J,LANDSAT_7,4.6562113761901855,3.6606078147888184,3.6065104007720947,4.717485039883381
2012-01-26,K,LANDSAT_7,4.225962162017822,3.577609062194824,3.6065104007720947,4.284501662534711
2012-01-26,L,LANDSAT_7,4.6562113761901855,3.6606078147888184,3.6065104007720947,4.608710640093281
2012-01-26,N,LANDSAT_7,5.047945499420166,4.643953800201416,3.706284761428833,4.49101587666816
2012-01-26,O,LANDSAT_7,4.225962162017822,3.577609062194824,3.304368019104004,4.4335129547211976
2012-01-26,P,LANDSAT_7,4.632308006286621,3.372925281524658,2.8104755878448486,3.878212887623861
2012-01-26,Q,LANDSAT_7,4.135558605194092,3.533529043197632,3.210172414779663,3.9634142507806844
2012-01-26,R,LANDSAT_7,4.225962162017822,3.577609062194824,3.304368019104004,4.841269850855773
2012-02-11,B,LANDSAT_7,3.880796194076538,3.288835287094116,3.831926107406616,3.8568662451544347
2012-02-11,C,LANDSAT_7,4.13460111618042,4.24063777923584,3.6483399868011475,4.322622599049236
2012-02-11,F,LANDSAT_7,4.2983574867248535,3.622917652130127,3.8746345043182373,3.9902209154849233
2012-02-27,B,LANDSAT_7,4.831722736358643,3.2411515712738037,3.333789348602295,3.854150104836083
2012-02-27,G,LANDSAT_7,3.7130942344665527,3.1138885021209717,2.8478922843933105,3.530809494152162
2012-02-27,H,LANDSAT_7,3.7130942344665527,3.148650884628296,3.064323902130127,3.846240261721277
2012-02-27,J,LANDSAT_7,3.6206002235412598,3.05867075920105,3.3417844772338867,4.413132856107686
2012-02-27,O,LANDSAT_7,4.332731246948242,3.0139706134796143,2.8478922843933105,3.8430484642291485
2012-03-14,A,LANDSAT_7,3.2514710426330566,3.026111125946045,3.0983381271362305,4.372759859103833
2012-03-14,B,LANDSAT_7,3.1850662231445312,3.2539145946502686,2.9150729179382324,4.231958343162236
2012-03-14,D,LANDSAT_7,3.2514710426330566,3.026111125946045,3.0983381271362305,4.185663012955124
2012-03-14,F,LANDSAT_7,3.5768418312072754,3.463714838027954,3.0983381271362305,4.420568516298233
2012-03-14,G,LANDSAT_7,3.2514710426330566,3.026111125946045,3.0983381271362305,4.3586107748272935
2012-03-14,H,LANDSAT_7,3.034381866455078,3.3439087867736816,2.9150729179382324,4.01787175849089
2012-03-14,I,LANDSAT_7,3.0801877975463867,3.4012720584869385,2.433628797531128,3.9716780634900006
2012-03-14,J,LANDSAT_7,4.736767292022705,4.0638017654418945,4.157528400421143,5.3657020156163595
2012-03-14,K,LANDSAT_7,3.594581127166748,3.2539145946502686,3.0983381271362305,4.381896965845381
2012-03-14,L,LANDSAT_7,3.2514710426330566,3.026111125946045,3.0983381271362305,4.312013359654473
2012-03-14,M,LANDSAT_7,3.622462272644043,3.379472255706787,3.2416036128997803,4.73548696807232
2012-03-14,N,LANDSAT_7,3.5768418312072754,3.2539145946502686,3.1925339698791504,4.49486746838688
2012-03-14,O,LANDSAT_7,3.277754306793213,2.8556454181671143,2.9150729179382324,4.106126860990703
2012-03-14,P,LANDSAT_7,3.5769381523132324,3.4276158809661865,2.433628797531128,4.064961887388555
2012-03-14,Q,LANDSAT_7,4.0096116065979,3.316655397415161,2.9150729179382324,4.282385204283593
2012-03-30,A,LANDSAT_7,2.9778549671173096,2.873718738555908,3.1925339698791504,3.924842510420844
2012-03-30,C,LANDSAT_7,2.9778549671173096,2.971249580383301,3.1925339698791504,4.1117351615054725
2012-03-30,E,LANDSAT_7,3.065788507461548,2.8704943656921387,2.799116611480713,3.5514818528242555
2012-03-30,F,LANDSAT_7,3.6734416484832764,2.8445827960968018,3.0983381271362305,3.8755692357062896
2012-03-30,G,LANDSAT_7,3.1001389026641846,2.971249580383301,3.0983381271362305,3.946214361625766
2012-03-30,H,LANDSAT_7,3.1001389026641846,2.6517980098724365,3.0983381271362305,4.025945032066464
2012-03-30,I,LANDSAT_7,2.8938045501708984,2.7402219772338867,2.799116611480713,3.5952214386211887
2012-03-30,K,LANDSAT_7,3.1001389026641846,2.873718738555908,3.0983381271362305,3.7914306018483233
2012-03-30,L,LANDSAT_7,2.9778549671173096,2.7126619815826416,3.1925339698791504,4.260413370570373
2012-03-30,M,LANDSAT_7,3.4736077785491943,2.971249580383301,3.0983381271362305,3.9809764034918205
2012-03-30,N,LANDSAT_7,3.510199785232544,3.1323063373565674,3.1925339698791504,4.068416662311706
2012-03-30,O,LANDSAT_7,3.136730909347534,2.812854766845703,3.1925339698791504,3.861918018457522
2012-03-30,P,LANDSAT_7,3.0087692737579346,2.8096303939819336,2.799116611480713,3.5402821463914522
2012-03-30,Q,LANDSAT_7,3.136730909347534,2.812854766845703,3.314648389816284,3.6561544768188634
2012-03-30,R,LANDSAT_7,3.427934408187866,2.8445827960968018,3.0983381271362305,3.869942539923165
2012-04-15,A,LANDSAT_7,3.4379000663757324,3.331552267074585,3.408843994140625,3.714208871221154
2012-04-15,B,LANDSAT_7,3.279024124145508,3.2742648124694824,3.0983381271362305,3.593270484117588
2012-04-15,D,LANDSAT_7,3.279024124145508,3.2742648124694824,3.3768467903137207,3.4361312836012052
2012-04-15,E,LANDSAT_7,3.309938430786133,3.007874011993408,3.077625274658203,3.0359029363590677
2012-04-15,F,LANDSAT_7,3.000377893447876,3.253072738647461,3.0154268741607666,3.190103870705282
2012-04-15,G,LANDSAT_7,3.279024124145508,3.331552267074585,3.0983381271362305,3.4372865751752917
2012-04-15,I,LANDSAT_7,3.279024124145508,3.2742648124694824,3.3768467903137207,3.4583240953719665
2012-04-15,K,LANDSAT_7,3.279024124145508,3.2742648124694824,3.3768467903137207,3.509895879746657
